Time,TargetYaw,RealYaw,TargetHip,RealHip,TargetKnee,RealKnee
6.548235,-65.74375,-75.38478,17.34251,17.67242,103.1112,101.279
6.56625,-64.44219,-74.89795,17.04319,17.26129,103.5518,103.0896
6.583008,-63.71631,-73.03929,16.84843,16.85687,103.8167,102.2044
6.599813,-63.06531,-72.49656,16.65499,17.00322,104.0679,103.1624
6.616766,-62.43639,-71.44817,16.44973,16.60187,104.3244,103.6923
6.633622,-61.82659,-70.55676,16.23185,16.32229,104.5878,104.1358
6.649977,-61.24527,-69.70488,16.00511,16.09774,104.8543,104.5005
6.666481,-61.24527,-69.70488,16.00511,16.09774,104.8543,104.5005
6.685293,-60.18481,-68.83994,15.53662,15.80892,105.3867,104.9414
6.699925,-59.62153,-67.9995,15.25419,15.51319,105.6992,105.3259
6.716841,-59.20571,-67.19668,15.0281,15.24095,105.946,105.6427
6.732852,-58.74946,-66.42593,14.76036,14.97599,106.2354,105.9431
6.749805,-58.34188,-65.34473,14.50125,14.70468,106.5132,105.8099
6.766327,-58.34188,-65.34473,14.50125,14.70468,106.5132,105.8099
6.783256,-57.5663,-65.17158,13.94412,15.1141,107.1062,107.1058
6.799605,-57.21363,-64.47462,13.65571,14.58523,107.4121,107.3297
6.816794,-56.89828,-63.93568,13.37372,14.34345,107.7112,108.0414
6.835546,-56.59349,-63.48964,13.07418,14.3353,108.0295,108.7085
6.848262,-56.59349,-63.48964,13.07418,14.3353,108.0295,108.7085
6.866546,-56.10655,-62.83788,12.51978,13.68429,108.6218,108.7438
6.883332,-55.8658,-62.32848,12.19526,13.27602,108.9713,109.6459
6.900692,-55.67205,-61.93027,11.89653,13.13107,109.2954,110.1784
6.916705,-55.4991,-61.37841,11.58731,12.5325,109.6337,109.9998
6.934068,-55.36427,-60.8421,11.30232,11.91422,109.9483,109.9683
6.949764,-55.24482,-60.33905,10.994,11.40942,110.2919,110.1122
6.966297,-55.24482,-60.33905,10.994,11.40942,110.2919,110.1122
6.985896,-55.09686,-60.01216,10.42525,11.16256,110.9359,110.9337
6.999651,-55.0537,-59.57824,10.08261,10.70844,111.3308,111.1852
7.016457,-55.04454,-59.16745,9.843976,10.25805,111.6091,111.3953
7.033694,-55.05701,-58.92783,9.554772,10.12552,111.9501,112.0542
7.049668,-55.09684,-58.76279,9.261135,9.890953,112.3007,112.6852
7.067004,-55.09684,-58.76279,9.261135,9.890953,112.3007,112.6852
7.083269,-55.2514,-58.64119,8.703266,9.544309,112.9791,113.184
7.100643,-55.36407,-58.5589,8.435871,9.314021,113.3101,113.4497
7.116563,-55.51142,-58.29008,8.154099,8.902049,113.663,113.4835
7.136521,-55.67092,-58.0496,7.899565,8.523854,113.9853,113.6452
7.149031,-55.90403,-57.85176,7.585499,8.168468,114.3873,113.9404
7.166293,-55.90403,-57.85176,7.585499,8.168468,114.3873,113.9404
